instance;optimal;time;value;gap
10_ulysses_3.tsp;true;0.138;136.99527629589414;
10_ulysses_6.tsp;true;0.125;55.119391243226886;
10_ulysses_9.tsp;true;0.053;33.29189782877749;
14_burma_3.tsp;true;0.153;93.3899872599682;
14_burma_6.tsp;true;0.256;42.74062354260174;
14_burma_9.tsp;true;0.099;20.762438566071065;
22_ulysses_3.tsp;true;5.796;358.6368286225183;
22_ulysses_6.tsp;false;30.023;116.52876945505506;
22_ulysses_9.tsp;true;1.839;64.9735924526909;
26_eil_3.tsp;false;30.016;2421.6464616686994;
26_eil_6.tsp;false;30.035;1053.2959462344481;
26_eil_9.tsp;false;5.015;781.385958115931;
30_eil_3.tsp;false;5.021;3467.643728161736;
30_eil_6.tsp;false;5.018;1417.1088681367603;
30_eil_9.tsp;false;5.028;748.7239265709313;
34_pr_3.tsp;false;5.012;718387.2278122315;
34_pr_6.tsp;false;5.03;335600.99235572934;
34_pr_9.tsp;false;5.053;219802.33396131115;
38_rat_3.tsp;false;5.015;9857.22595980397;
38_rat_6.tsp;false;5.089;4509.150772870101;
