instance;optimal;time;value
10_ulysses_3.tsp;true;0.135;136.99527629589417
10_ulysses_6.tsp;true;0.08;55.11939124322688
10_ulysses_9.tsp;true;0.672;33.29189782877749
14_burma_3.tsp;true;0.176;93.3899872599682
14_burma_6.tsp;true;0.168;42.74062354260174
14_burma_9.tsp;false;30.035;20.762438566071065
22_ulysses_3.tsp;true;3.514;358.6368286225183
22_ulysses_6.tsp;false;30.022;121.58957618817999
22_ulysses_9.tsp;false;30.01;69.90163824949352
26_eil_3.tsp;false;30.003;2465.0965651777074
26_eil_6.tsp;false;30.017;1083.6642236166867
26_eil_9.tsp;false;30.01;935.3072190937021
30_eil_3.tsp;false;30.009;3421.8576283202055
30_eil_6.tsp;false;30.017;1495.4737944662434
30_eil_9.tsp;false;30.075;921.1927227586848
34_pr_3.tsp;false;30.009;717133.1039015376
34_pr_6.tsp;false;30.049;365815.41043023625
34_pr_9.tsp;false;30.037;239517.67492829447
38_rat_3.tsp;false;30.029;9958.716080737333
38_rat_6.tsp;false;30.044;5142.044026634677
38_rat_9.tsp;false;30.04;3463.33360338836
40_eil_3.tsp;false;30.022;7807.823496539181
40_eil_6.tsp;false;30.028;4179.9581964478675
40_eil_9.tsp;false;30.059;2845.4428602129606
44_lin_3.tsp;false;30.033;185835.77519738552
44_lin_6.tsp;false;30.037;94407.91967050302
44_lin_9.tsp;false;30.055;61242.6892387929
48_att_3.tsp;false;30.049;987055.1465655861
48_att_6.tsp;false;30.11;509697.0639158687
48_att_9.tsp;false;30.068;414978.047111795
52_berlin_3.tsp;false;30.06;224447.4215147031
52_berlin_6.tsp;false;30.242;91706.1934728136
52_berlin_9.tsp;false;30.462;91693.40138538658
70_st_3.tsp;false;30.069;42274.251032815344
70_st_6.tsp;false;30.375;20929.680906032383
70_st_9.tsp;false;30.082;13511.27954043348
80_gr_3.tsp;false;30.079;33177.86797828034
80_gr_6.tsp;false;30.079;17540.73587049562
80_gr_9.tsp;false;30.115;12001.139559150528
100_kroA_3.tsp;false;30.119;2.8234793998622135e6
100_kroA_6.tsp;false;30.041;1.401114184885705e6
100_kroA_9.tsp;false;30.048;943863.8560547774
202_gr_3.tsp;false;30.055;684713.9320562317
202_gr_6.tsp;false;30.067;56627.79575299117
202_gr_9.tsp;false;30.163;34387.16305795235
318_lin_3.tsp;false;30.27;3.2136593865563218e7
318_lin_9.tsp;false;41.41;1.0493713031434488e7
400_rd_3.tsp;false;30.398;1.5033942074549621e7
532_att_6.tsp;false;63.12;7.19152046531848e7
