instance;optimal;time;value;gap
10_ulysses_3.tsp;true;0.158;136.99527629589417;0.0
10_ulysses_6.tsp;true;0.068;55.11939124322688;0.0
10_ulysses_9.tsp;true;0.038;33.29189782877749;0.0
14_burma_3.tsp;true;0.16;93.3899872599682;0.0
14_burma_6.tsp;true;0.122;42.74062354260174;0.0
14_burma_9.tsp;false;300.017;20.762438566071065;0.1460426870592559
22_ulysses_3.tsp;true;2.567;358.6368286225183;1.846565778128352e-5
22_ulysses_6.tsp;true;62.375;116.52876945505506;7.357658074172939e-5
22_ulysses_9.tsp;false;300.579;64.97359245269088;0.9492939738099229
26_eil_3.tsp;true;137.175;2297.629585571084;9.05623986193766e-5
26_eil_6.tsp;false;300.026;1085.7949459548286;0.45718851292361484
26_eil_9.tsp;false;300.029;836.8269114158593;0.8722200627073414
30_eil_3.tsp;false;300.024;3155.290393277094;0.2500769986216241
30_eil_6.tsp;false;265.994;1376.9598623561367;0.5818753337929498
30_eil_9.tsp;false;300.029;749.9759962295848;0.9397402904098053
34_pr_3.tsp;false;300.01;669328.0156017344;0.25200252691551234
34_pr_6.tsp;false;300.549;324877.813961991;0.6115264366064651
34_pr_9.tsp;false;300.154;232776.7558697779;0.9547233346968906
38_rat_3.tsp;false;300.093;9477.467382039802;0.41536635247792075
38_rat_6.tsp;false;300.358;4565.021804830115;0.6873802073441564
38_rat_9.tsp;false;300.889;4062.6984719617762;0.9799235421553085
40_eil_3.tsp;false;301.006;8083.061724975689;0.6676292507490981
40_eil_6.tsp;false;300.329;3875.372313782588;0.7881636780450716
40_eil_9.tsp;false;300.547;2837.0180574454175;0.985394715404367
44_lin_3.tsp;false;300.312;198843.1816977976;0.6620357488850749
44_lin_6.tsp;false;300.327;100440.39492462872;0.8458540610544567
44_lin_9.tsp;false;300.464;62235.12767278115;0.9999999999999983
48_att_3.tsp;false;300.017;894788.1383982964;0.5818536865374903
48_att_6.tsp;false;300.122;456800.04772458324;0.8740009612657103
48_att_9.tsp;false;300.088;291937.08093924815;0.9077670262442404
52_berlin_3.tsp;false;300.063;204614.68047999195;0.681143431808376
52_berlin_6.tsp;false;300.211;90955.63362186006;0.8252106276666482
52_berlin_9.tsp;false;300.063;83703.73741229222;0.9677501857564706
70_st_3.tsp;false;300.078;39930.23123499437;0.8190950166800827
70_st_6.tsp;false;300.06;21473.561552898434;0.9545217539926876
70_st_9.tsp;false;300.073;14153.328015379797;0.9985818013598142
80_gr_3.tsp;false;300.15;30504.514049307054;0.8457938618416594
80_gr_6.tsp;false;300.043;16924.60020246789;0.9577831799318528
80_gr_9.tsp;false;300.08;11295.28659256054;0.9999999999999911
100_kroA_3.tsp;false;300.128;2.5613076784564713e6;0.9050345401888181
100_kroA_6.tsp;false;300.62;1.418083686230762e6;0.9757144165824164
100_kroA_9.tsp;false;300.085;5.221764242333578e7;1.0
202_gr_3.tsp;false;733.275;684367.3663986335;0.9952588886958057
202_gr_6.tsp;false;300.102;59863.801818452775;0.9950761517039644
202_gr_9.tsp;false;300.159;33846.38085498758;0.997445445989249
318_lin_3.tsp;false;300.313;3.2485874579761192e7;0.9925742550938728
318_lin_6.tsp;false;300.44;1.6094413244983252e7;0.9971541546879684
400_rd_9.tsp;false;300.616;4.606930490313975e6;0.9999644920148894
532_att_3.tsp;false;317.633;1.5377281335754174e8;0.9976940117445241
532_att_6.tsp;false;364.672;7.146415699044946e7;1.0
532_att_9.tsp;false;330.278;6.163163041780859e7;0.9999588549704628
