instance;optimal;time;value;gap
10_ulysses_3.tsp;true;0.255;136.99527629589417;0.0
10_ulysses_6.tsp;true;0.176;55.11939124322688;0.0
10_ulysses_9.tsp;true;0.05;33.29189782877749;0.0
14_burma_3.tsp;true;0.344;93.3899872599682;0.0
14_burma_6.tsp;true;0.424;42.74062354260174;0.0
14_burma_9.tsp;false;300.021;20.762438566071065;0.6826903807003833
22_ulysses_3.tsp;true;5.755;358.6368286225183;0.0
22_ulysses_6.tsp;true;103.783;116.52876945505506;7.79819107983584e-5
22_ulysses_9.tsp;false;300.024;64.97359245269088;0.9506626599161718
26_eil_3.tsp;false;300.029;2297.629585571084;0.013804287910955768
26_eil_6.tsp;false;300.039;1025.6371210889806;0.42035863647686117
26_eil_9.tsp;false;300.04;818.9746609479351;0.88676411154717
30_eil_3.tsp;false;300.032;3215.6833460812773;0.21884650082290472
30_eil_6.tsp;false;300.026;1367.3802095109743;0.59968440691167
30_eil_9.tsp;false;300.039;922.7692649354682;0.9688946009156908
34_pr_3.tsp;false;300.033;657105.9551691817;0.2693311363838046
34_pr_6.tsp;false;300.057;354549.33250329684;0.6888930149282504
34_pr_9.tsp;false;300.027;237265.20894918303;0.9598149174575713
38_rat_3.tsp;false;300.01;8669.916339295658;0.30890038622747806
38_rat_6.tsp;false;300.109;4797.405538612316;0.7094520108439878
38_rat_9.tsp;false;300.11;3592.6383985522807;0.9633213797972437
40_eil_3.tsp;false;300.056;7015.1306758599385;0.449287525485899
40_eil_6.tsp;false;301.424;3734.8473404385436;0.7727214886764463
40_eil_9.tsp;false;300.284;3069.841068308577;0.9847024559362951
44_lin_3.tsp;false;300.098;175200.07782924257;0.553898013589761
44_lin_6.tsp;false;300.152;103807.22589622176;0.8357674271825605
44_lin_9.tsp;false;300.254;52876.50970518972;0.9647883855761488
48_att_3.tsp;false;300.017;801175.0087669428;0.4501530620340913
48_att_6.tsp;false;300.147;468029.46124159754;0.8512729658492091
48_att_9.tsp;false;300.648;275217.5753914083;0.8934403537970208
52_berlin_3.tsp;false;300.185;199200.14122722024;0.6715714877255932
52_berlin_6.tsp;false;300.216;90143.24102036221;0.8421677914449374
52_berlin_9.tsp;false;300.122;77657.19484213126;0.9605158392479893
70_st_3.tsp;false;300.128;36736.942900323;0.7873245776094012
70_st_6.tsp;false;300.075;19489.816017467176;0.9310680414585161
70_st_9.tsp;false;300.101;9246.896276578078;0.9999999999999892
80_gr_3.tsp;false;300.192;30504.514049307054;0.818315170351426
80_gr_6.tsp;false;300.036;15860.694140352844;0.9549154291953539
80_gr_9.tsp;false;300.08;11295.28659256054;0.9999999999999911
100_kroA_3.tsp;false;300.213;2.5641619961871193e6;0.8898654479122653
100_kroA_6.tsp;false;300.04;956117.3094381703;0.9629630552652743
100_kroA_9.tsp;false;300.065;5.221764242333578e7;1.0
202_gr_3.tsp;false;300.131;684367.3663986335;0.9946005323455026
202_gr_6.tsp;false;300.082;59863.801818452775;0.9950862168051005
202_gr_9.tsp;false;301.35;33846.38085498758;0.9974456659825961
318_lin_3.tsp;false;300.128;3.2485874579761192e7;0.9893001951829609
318_lin_6.tsp;false;300.206;1.6094413244983252e7;0.997130457836145
318_lin_9.tsp;false;300.415;6.334200402168564e8;1.0
400_rd_3.tsp;false;300.164;1.465558162693732e7;0.9967924128697173
400_rd_9.tsp;false;322.235;4.606930490313975e6;0.9999644920148894
532_att_3.tsp;false;300.381;1.5377281335754174e8;0.9976939392461444
532_att_6.tsp;false;301.002;7.146415699044946e7;0.9987305297554026
532_att_9.tsp;false;302.601;6.163163041780859e7;0.9999588549704628
