instance;optimal;time;value;gap
10_ulysses_3.tsp;true;0.266;136.99527629589417;0.0
10_ulysses_6.tsp;true;0.082;55.11939124322688;0.0
10_ulysses_9.tsp;true;0.63;33.29189782877749;0.0
14_burma_3.tsp;true;0.162;93.3899872599682;0.0
14_burma_6.tsp;true;0.177;42.74062354260174;3.6838434897034116e-6
14_burma_9.tsp;false;300.04;20.762438566071065;0.4005916554794566
22_ulysses_3.tsp;true;3.787;358.6368286225183;4.958101399916293e-5
22_ulysses_6.tsp;true;76.934;116.52876945505506;9.09155976273947e-5
22_ulysses_9.tsp;false;300.047;64.97359245269088;0.9596126955094215
26_eil_3.tsp;true;175.145;2297.629585571084;9.485202755959043e-5
26_eil_6.tsp;false;300.051;1086.8946836286166;0.4821805082075792
26_eil_9.tsp;false;301.165;889.7839360778979;0.9098151411350874
30_eil_3.tsp;false;300.03;3263.2549330570723;0.27705277837147985
30_eil_6.tsp;false;300.032;1463.3431864738832;0.613587607357414
30_eil_9.tsp;false;300.033;780.2426980219504;0.9461964021819309
34_pr_3.tsp;false;300.032;699571.3917274831;0.3067631157412233
34_pr_6.tsp;false;300.291;347021.12465527665;0.6747465515775068
34_pr_9.tsp;false;300.673;230810.09170328348;0.9875693047542196
38_rat_3.tsp;false;300.302;9410.500744118797;0.4910300227523959
38_rat_6.tsp;false;300.113;4891.083825962283;0.6965556578803354
38_rat_9.tsp;false;300.23;3913.2201904316503;0.9676500121996199
40_eil_3.tsp;false;300.151;7346.811615035665;0.5708340383289222
40_eil_6.tsp;false;300.373;3784.8426380578394;0.8232018561334371
40_eil_9.tsp;false;300.075;3033.4057399567837;0.9819146718163471
44_lin_3.tsp;false;300.042;182873.510573155;0.5760208794842894
44_lin_6.tsp;false;300.037;95171.08983160468;0.8129011194947035
44_lin_9.tsp;false;300.074;51912.875659255835;0.9707496310488488
48_att_3.tsp;false;300.052;867150.0751731957;0.618055525331984
48_att_6.tsp;false;300.163;449650.7696321026;0.8801804023423591
48_att_9.tsp;false;300.198;245516.6057671392;0.9081368013029755
52_berlin_3.tsp;false;300.066;211316.44623504052;0.6095673635450599
52_berlin_6.tsp;false;300.128;97114.47494994453;0.8608702795359521
52_berlin_9.tsp;false;300.2;91693.40138538658;0.9915390231441885
70_st_3.tsp;false;300.402;39015.18840499634;0.8435480774338058
70_st_6.tsp;false;300.126;20774.791650094354;0.9532406313410354
70_st_9.tsp;false;300.167;13511.27954043348;0.9999999999999926
80_gr_3.tsp;false;300.422;30743.953093142558;0.8671931825240055
80_gr_6.tsp;false;300.178;17540.73587049562;0.9611051023870008
80_gr_9.tsp;false;300.178;12001.139559150528;0.9999999999999917
100_kroA_3.tsp;false;300.633;2.603570508150849e6;0.926603223703042
100_kroA_6.tsp;false;300.166;1.401114184885705e6;0.9757673199083495
100_kroA_9.tsp;false;300.2;943863.8560547774;0.9999999999999999
202_gr_3.tsp;false;300.096;684713.9320562317;0.9947610058191008
202_gr_6.tsp;false;300.876;56627.79575299117;0.9947808593575459
202_gr_9.tsp;false;300.238;34049.56879256935;0.9974738966223553
318_lin_3.tsp;false;300.116;3.2136593865563218e7;0.9890972217040644
318_lin_6.tsp;false;300.244;1.7050854183044378e7;0.9972914201133385
318_lin_9.tsp;false;300.287;1.0493713031434488e7;1.0
400_rd_3.tsp;false;300.262;1.5033942074549621e7;0.9968658430790605
400_rd_9.tsp;false;302.819;1.0252190853320628e8;0.9999984044111001
532_att_6.tsp;false;301.149;7.19152046531848e7;0.9987384917933262
