instance;time;value
10_ulysses_3.tsp;0.18200016021728516;160.44073123325717
10_ulysses_6.tsp;0.18499994277954102;88.07122688785023
10_ulysses_9.tsp;0.22799992561340332;40.83011387029333
14_burma_3.tsp;0.8959999084472656;179.57911178803403
14_burma_6.tsp;0.247999906539917;68.55003455167491
14_burma_9.tsp;0.3659999370574951;43.2371246523376
22_ulysses_3.tsp;0.26600003242492676;533.4216826408959
22_ulysses_6.tsp;0.8849999904632568;246.9747562205997
22_ulysses_9.tsp;1.4059998989105225;162.44346076880356
26_eil_3.tsp;0.6549999713897705;3444.473592082883
26_eil_6.tsp;0.5920000076293945;1579.0168813638763
26_eil_9.tsp;0.9409999847412109;1198.8648438604243
30_eil_3.tsp;0.4290001392364502;4207.246436898376
30_eil_6.tsp;0.7590000629425049;1987.1570476242698
30_eil_9.tsp;1.2179999351501465;1231.7700750178535
34_pr_3.tsp;0.5429999828338623;938051.9154367205
34_pr_6.tsp;0.9570000171661377;506070.2220637014
34_pr_9.tsp;1.378000020980835;311909.11642205424
38_rat_3.tsp;0.5460000038146973;12453.088145904518
38_rat_6.tsp;1.0329999923706055;6258.277408107405
38_rat_9.tsp;1.6140000820159912;4473.588800739529
40_eil_3.tsp;0.625;9541.724765665555
40_eil_6.tsp;1.122999906539917;4668.029034870364
40_eil_9.tsp;1.6119999885559082;2971.6981432324824
44_lin_3.tsp;0.6809999942779541;231311.14352151228
44_lin_6.tsp;1.3999998569488525;123697.48981908064
44_lin_9.tsp;1.9730000495910645;81201.32660362787
48_att_3.tsp;0.8959999084472656;1.1636789365016527e6
48_att_6.tsp;4.730000019073486;609919.2435974615
48_att_9.tsp;2.3489999771118164;379823.31976974336
52_berlin_3.tsp;0.9340000152587891;262081.50567232157
52_berlin_6.tsp;1.744999885559082;130323.05272381914
70_st_3.tsp;1.4179999828338623;42260.50867183388
70_st_6.tsp;2.8309998512268066;20850.17954278535
70_st_9.tsp;4.321000099182129;14014.96153082275
80_gr_3.tsp;1.8270001411437988;34149.12590286652
80_gr_6.tsp;3.5929999351501465;16972.884522320273
80_gr_9.tsp;5.3429999351501465;11699.265350690337
100_kroA_3.tsp;2.695000171661377;2.8443065940645505e6
100_kroA_6.tsp;5.299000024795532;1.419404808984975e6
100_kroA_9.tsp;7.890000104904175;910464.0602691522
202_gr_3.tsp;9.835000038146973;104629.9646954799
202_gr_6.tsp;19.4469997882843;51821.14301953402
202_gr_9.tsp;29.289999961853027;33927.93677888544
318_lin_3.tsp;23.42799997329712;3.123102306111045e7
318_lin_6.tsp;46.41100001335144;1.5647767692922235e7
318_lin_9.tsp;69.56000018119812;1.0412555943130448e7
400_rd_3.tsp;37.09500002861023;1.4051705185892316e7
400_rd_6.tsp;74.23499989509583;6.9903331336598005e6
400_rd_9.tsp;109.99000000953674;4.60659607724136e6
532_att_3.tsp;62.84500002861023;1.4364384144879547e8
532_att_6.tsp;125.94500017166138;7.13574813185345e7
532_att_9.tsp;189.13499999046326;4.798835659130375e7
