instance;PR;Dual_time;Dual_gap;Branch_time;Branch_gap;Plans_time;Plans_gap;Heur_time;Heur_gap;Heur_local_time;Heur_local_gap
10_ulysses_3.tsp;-1.0;0.158;-0.0%;2.584;0.0%;1.484;-0.0%;0.18200016021728516;17.1%;2.200000047683716;13.8%
10_ulysses_6.tsp;-1.0;0.068;-0.0%;2.608;0.0%;0.545;0.0%;0.18499994277954102;59.8%;3.4659998416900635;-0.0%
10_ulysses_9.tsp;-1.0;0.038;0.0%;7.284;0.0%;0.822;0.0%;0.22799992561340332;22.6%;3.3299999237060547;0.0%
14_burma_3.tsp;-1.0;0.16;-0.0%;1.86;0.0%;1.881;0.0%;0.8959999084472656;92.3%;2.3889999389648438;75.3%
14_burma_6.tsp;-1.0;0.122;0.0%;14.359;0.0%;1.154;0.0%;0.247999906539917;60.4%;4.721999883651733;14.5%
14_burma_9.tsp;-1.0;300.017;0.0%;300.03;0.0%;2.631;0.0%;0.3659999370574951;108.2%;9.766999959945679;31.7%
22_ulysses_3.tsp;-1.0;2.567;0.0%;28.923;0.0%;53.376;0.0%;0.26600003242492676;48.7%;17.361999988555908;25.4%
22_ulysses_6.tsp;-1.0;62.375;0.0%;300.006;27.2%;-1.0;---;0.8849999904632568;112.0%;34.20900011062622;45.6%
22_ulysses_9.tsp;-1.0;300.579;94.9%;300.021;99.5%;-1.0;---;1.4059998989105225;387.4%;36.367000102996826;101.4%
26_eil_3.tsp;-1.0;137.175;0.0%;300.004;5.3%;-1.0;---;0.6549999713897705;49.9%;40.32099986076355;11.3%
26_eil_6.tsp;-1.0;300.026;45.7%;300.018;59.8%;-1.0;---;0.5920000076293945;111.9%;51.704999923706055;54.9%
26_eil_9.tsp;-1.0;300.029;64.4%;300.011;99.3%;-1.0;---;0.9409999847412109;135.6%;54.734999895095825;67.1%
30_eil_3.tsp;-1.0;300.024;25.0%;300.022;42.6%;-1.0;---;0.4290001392364502;66.7%;70.11099982261658;34.0%
30_eil_6.tsp;-1.0;265.994;50.5%;300.006;95.6%;-1.0;---;0.7590000629425049;117.2%;53.48900008201599;75.1%
30_eil_9.tsp;-1.0;300.029;32.2%;300.015;99.8%;-1.0;---;1.2179999351501465;117.2%;90.88100004196167;68.7%
34_pr_3.tsp;-1.0;300.01;25.2%;300.018;48.6%;-1.0;---;0.5429999828338623;75.5%;93.23900008201599;49.3%
34_pr_6.tsp;-1.0;300.549;53.5%;300.011;98.4%;-1.0;---;0.9570000171661377;139.2%;209.77300000190735;57.4%
34_pr_9.tsp;-1.0;300.154;63.2%;300.008;100.0%;-1.0;---;1.378000020980835;118.7%;222.3309998512268;40.1%
38_rat_3.tsp;-1.0;300.093;41.5%;300.012;59.9%;-1.0;---;0.5460000038146973;86.0%;159.5730001926422;43.4%
38_rat_6.tsp;-1.0;300.358;53.6%;300.004;98.4%;-1.0;---;1.0329999923706055;110.6%;271.86299991607666;56.2%
38_rat_9.tsp;-1.0;300.889;98.0%;-1.0;---;-1.0;---;1.6140000820159912;118.0%;292.6300001144409;69.6%
40_eil_3.tsp;-1.0;301.006;66.8%;300.008;68.8%;-1.0;---;0.625;96.9%;187.6840000152588;51.2%
40_eil_6.tsp;-1.0;300.329;78.8%;300.022;82.0%;-1.0;---;1.122999906539917;115.4%;265.02699995040894;68.6%
40_eil_9.tsp;-1.0;300.547;98.5%;-1.0;---;-1.0;---;1.6119999885559082;108.0%;220.6489999294281;58.1%
44_lin_3.tsp;-1.0;300.312;66.2%;300.005;61.1%;-1.0;---;0.6809999942779541;93.3%;276.0149998664856;60.0%
44_lin_6.tsp;-1.0;300.327;84.6%;-1.0;---;-1.0;---;1.3999998569488525;127.3%;326.58399987220764;72.8%
44_lin_9.tsp;-1.0;300.464;100.0%;-1.0;---;-1.0;---;1.9730000495910645;161.0%;322.1050000190735;68.0%
48_att_3.tsp;-1.0;300.017;58.2%;300.021;71.0%;-1.0;---;0.8959999084472656;105.7%;291.2739999294281;40.5%
48_att_6.tsp;-1.0;300.122;87.4%;-1.0;---;-1.0;---;4.730000019073486;150.2%;204.62999987602234;89.0%
48_att_9.tsp;-1.0;300.088;90.8%;-1.0;---;-1.0;---;2.3489999771118164;148.2%;322.4539999961853;26.5%
52_berlin_3.tsp;-1.0;300.063;54.1%;300.017;77.1%;-1.0;---;0.9340000152587891;97.4%;300.1340000629425;57.4%
52_berlin_6.tsp;-1.0;300.211;82.5%;-1.0;---;-1.0;---;1.744999885559082;161.5%;300.085000038147;106.3%
52_berlin_9.tsp;-1.0;300.063;96.8%;-1.0;---;-1.0;---;-1.0;---;-1.0;---
70_st_3.tsp;-1.0;300.078;73.2%;300.016;88.2%;-1.0;---;1.4179999828338623;83.3%;300.20300006866455;63.5%
70_st_6.tsp;-1.0;300.06;95.5%;-1.0;---;-1.0;---;2.8309998512268066;89.8%;300.2339999675751;82.5%
70_st_9.tsp;-1.0;300.073;99.9%;-1.0;---;-1.0;---;4.321000099182129;97.9%;300.26199984550476;69.7%
80_gr_3.tsp;-1.0;300.15;84.6%;-1.0;---;-1.0;---;1.8270001411437988;106.6%;300.0810000896454;103.4%
80_gr_6.tsp;-1.0;300.043;95.8%;-1.0;---;-1.0;---;3.5929999351501465;96.3%;300.1689999103546;96.3%
80_gr_9.tsp;-1.0;300.08;100.0%;-1.0;---;-1.0;---;5.3429999351501465;107.2%;300.49500012397766;100.9%
100_kroA_3.tsp;-1.0;300.128;90.5%;-1.0;---;-1.0;---;2.695000171661377;111.6%;300.1800000667572;110.4%
100_kroA_6.tsp;-1.0;300.62;97.6%;-1.0;---;-1.0;---;5.299000024795532;97.8%;300.26399993896484;92.2%
100_kroA_9.tsp;-1.0;300.085;---;-1.0;---;-1.0;---;7.890000104904175;---;300.1510000228882;---
202_gr_3.tsp;-1.0;733.275;99.5%;-1.0;---;-1.0;---;9.835000038146973;-69.5%;300.4130001068115;-69.5%
202_gr_6.tsp;-1.0;300.102;99.5%;-1.0;---;-1.0;---;19.4469997882843;72.7%;514.7159998416901;71.8%
202_gr_9.tsp;-1.0;300.159;99.7%;-1.0;---;-1.0;---;29.289999961853027;100.2%;300.22300004959106;100.2%
318_lin_3.tsp;-1.0;300.313;99.3%;-1.0;---;-1.0;---;23.42799997329712;91.6%;300.37400007247925;89.8%
318_lin_6.tsp;-1.0;300.44;99.7%;-1.0;---;-1.0;---;46.41100001335144;94.2%;300.4539999961853;93.1%
318_lin_9.tsp;-1.0;-1.0;---;-1.0;---;-1.0;---;69.56000018119812;---;300.33899998664856;---
400_rd_3.tsp;-1.0;-1.0;---;-1.0;---;-1.0;---;37.09500002861023;---;300.23099994659424;---
400_rd_6.tsp;-1.0;-1.0;---;-1.0;---;-1.0;---;74.23499989509583;---;300.5720000267029;---
400_rd_9.tsp;-1.0;300.616;100.0%;-1.0;---;-1.0;---;109.99000000953674;100.0%;355.29299998283386;99.1%
532_att_3.tsp;-1.0;317.633;99.8%;-1.0;---;-1.0;---;62.84500002861023;86.6%;300.3029999732971;86.0%
532_att_6.tsp;-1.0;364.672;---;-1.0;---;-1.0;---;125.94500017166138;---;406.99000000953674;---
532_att_9.tsp;-1.0;330.278;100.0%;-1.0;---;-1.0;---;189.13499999046326;55.7%;418.42000007629395;54.6%
