instance;optimal;time;value;gap
38_rat_9.tsp;false;1806.068;1312.281964776228;
400_rd_6.tsp;false;1801.748;6.948771160881391e6;
34_pr_3.tsp;true;236.832;493480.24574489176;
202_gr_9.tsp;false;1801.108;20460.330947226797;
22_ulysses_3.tsp;true;0.852;284.2098066855361;
80_gr_3.tsp;false;1802.145;23374.396238939822;
10_ulysses_9.tsp;true;0.132;0.7202777242147631;
48_att_9.tsp;false;1802.073;114441.0253401779;
48_att_6.tsp;false;1808.602;245134.35388709992;
14_burma_9.tsp;true;0.308;4.724843955442653;
52_berlin_9.tsp;false;1814.716;34555.288291179764;
38_rat_6.tsp;false;1800.724;2507.3938058940485;
532_att_9.tsp;false;1802.275;3.498719964027214e7;
52_berlin_6.tsp;false;60.055;64546.53094538652;
48_att_3.tsp;false;1801.636;619017.8222937256;
40_eil_6.tsp;false;1801.562;2086.8815150608407;
318_lin_6.tsp;false;1800.786;1.1022804750814583e7;
38_rat_3.tsp;true;6161.704;6505.447458080023;
318_lin_9.tsp;false;1801.342;5.477850525183998e6;
70_st_9.tsp;false;1809.071;5679.706340067615;
40_eil_3.tsp;false;1800.658;5935.866833577874;
40_eil_9.tsp;false;1801.32;1055.3225460809267;
30_eil_3.tsp;true;214.596;2693.0461171791967;
14_burma_6.tsp;true;0.297;17.962247641471908;
318_lin_3.tsp;false;1801.361;2.334288980065994e7;
100_kroA_9.tsp;false;1810.995;402032.2819576175;
26_eil_9.tsp;true;1019.745;317.7642297398473;
100_kroA_6.tsp;false;1801.625;725251.012380827;
22_ulysses_6.tsp;true;9.597;82.6309678494024;
10_ulysses_3.tsp;true;0.163;54.354823587721164;
34_pr_9.tsp;false;1808.257;86809.80115507156;
14_burma_3.tsp;true;0.265;66.21374551350527;
30_eil_6.tsp;true;17989.916;868.3894135396534;
532_att_3.tsp;false;1800.429;1.1324677108318272e8;
532_att_6.tsp;false;1800.793;5.9865293791634575e7;
70_st_3.tsp;false;1801.454;29950.99886727453;
202_gr_3.tsp;false;1800.87;83995.98094774631;
26_eil_3.tsp;true;33.457;1850.4196829498167;
400_rd_9.tsp;false;1802.412;4.755470833183548e6;
400_rd_3.tsp;false;1801.06;1.4107643032487042e7;
10_ulysses_6.tsp;true;0.151;7.221996142226361;
100_kroA_3.tsp;false;1807.033;1.9165457760238806e6;
22_ulysses_9.tsp;true;2.238;26.217229233402662;
44_lin_3.tsp;false;1800.752;147484.7218947015;
80_gr_9.tsp;false;1801.223;4695.047230196835;
52_berlin_3.tsp;false;1800.455;172352.83458096435;
202_gr_6.tsp;false;1801.236;38469.77126226459;
44_lin_9.tsp;false;1802.526;20313.408515682917;
26_eil_6.tsp;true;827.049;608.7184756899014;
34_pr_6.tsp;false;1801.846;168240.09426127863;
80_gr_6.tsp;false;1801.398;8048.733286264988;
70_st_6.tsp;false;1810.517;9852.695139357487;
44_lin_6.tsp;false;1805.312;52012.430336186706;
30_eil_9.tsp;false;1803.874;491.66440099558235;
