instance;optimal;time;value;gap
10_ulysses_3.tsp;true;0.165;54.354823587721164;0.0
10_ulysses_6.tsp;true;0.07;7.22199614222636;0.0
10_ulysses_9.tsp;true;0.066;0.7202777242147631;0.0
14_burma_3.tsp;true;0.187;66.21374551350527;0.0
14_burma_6.tsp;true;0.136;17.962247641471908;0.0
14_burma_9.tsp;true;0.139;4.724843955442653;0.0
22_ulysses_3.tsp;true;0.578;284.2098066855361;2.1308124764618535e-5
22_ulysses_6.tsp;true;6.948;82.6309678494024;8.922487377361954e-5
22_ulysses_9.tsp;true;1.6;26.217229233402662;6.390538585045249e-5
26_eil_3.tsp;true;18.608;1850.4196829498167;7.120811676531703e-5
26_eil_6.tsp;false;300.025;611.7514230432932;0.16282919903626722
26_eil_9.tsp;false;300.022;331.0025035421104;0.2518951669133745
30_eil_3.tsp;true;180.269;2693.0461171791967;9.457778604317568e-5
30_eil_6.tsp;false;300.785;871.5568246065226;0.4163464565508483
30_eil_9.tsp;false;300.018;498.5451257661789;0.5856606125098259
34_pr_3.tsp;false;300.024;493480.24574489176;0.07451760123192915
34_pr_6.tsp;false;300.058;174729.2054020425;0.5442856258015948
34_pr_9.tsp;false;300.114;89006.11255913277;0.5902224693563725
38_rat_3.tsp;false;300.056;7019.694567990295;0.31451786624352845
38_rat_6.tsp;false;300.353;2725.52302836195;0.7133217936486178
38_rat_9.tsp;false;301.792;1303.280824902251;0.7533626166999035
40_eil_3.tsp;false;300.247;6025.931107158518;0.4869864174437324
40_eil_6.tsp;false;300.233;2129.3949328903373;0.7690980532796975
40_eil_9.tsp;false;300.199;1068.1627657895403;0.7739726378810051
44_lin_3.tsp;false;300.083;143265.93901530202;0.5021911705872693
44_lin_6.tsp;false;300.705;50417.279002631185;0.8342894815640445
44_lin_9.tsp;false;300.383;23538.48916759337;0.8923569373121726
48_att_3.tsp;false;300.176;632282.3713975863;0.49120277071635976
48_att_6.tsp;false;300.258;232155.78285659343;0.82734689372654
48_att_9.tsp;false;300.294;120579.71454822639;0.8404405455598495
52_berlin_3.tsp;false;300.097;176749.34153674843;0.5975014735327424
52_berlin_6.tsp;false;300.217;64203.92581792198;0.8486227548012367
52_berlin_9.tsp;false;302.383;34589.92588594806;0.8479012267594209
70_st_3.tsp;false;300.309;31150.90874443973;0.8174660273365462
70_st_6.tsp;false;300.386;10381.367885552016;0.9431318426827714
70_st_9.tsp;false;300.081;5758.397455107183;0.9319464419774537
80_gr_3.tsp;false;300.104;23680.513501196787;0.8425396322838148
80_gr_6.tsp;false;300.077;8349.245272684586;0.9468148288162457
80_gr_9.tsp;false;300.052;4728.644858328991;0.9610890733191934
100_kroA_3.tsp;false;302.857;1.9868526284355822e6;0.8854761977686743
100_kroA_6.tsp;false;300.061;745148.1762631343;0.9866647107291189
100_kroA_9.tsp;false;300.131;408356.65100506414;0.9866864591267916
202_gr_3.tsp;false;300.099;91062.36056211736;0.9705657901961532
202_gr_6.tsp;false;300.238;38469.77126226459;0.9973358345046236
202_gr_9.tsp;false;300.317;21292.355620252172;0.9976229814551626
318_lin_3.tsp;false;300.248;2.334288980065994e7;0.991446861163069
318_lin_6.tsp;false;300.441;1.1022804750814583e7;0.999815596907657
318_lin_9.tsp;false;300.612;5.347242481613907e6;1.0
400_rd_3.tsp;false;300.24;1.405825495704855e7;1.0
400_rd_6.tsp;false;300.503;7.067044443079265e6;1.0
400_rd_9.tsp;false;300.849;4.734116442981044e6;1.0
532_att_3.tsp;false;300.279;1.1324677108318272e8;1.0
532_att_6.tsp;false;301.725;5.9865293791634575e7;1.0
532_att_9.tsp;false;301.441;3.523754303766992e7;1.0
