instance;optimal;time;value;gap
10_ulysses_3.tsp;true;0.14;54.354823587721164;0.0
10_ulysses_6.tsp;true;0.059;7.221996142226361;0.0
10_ulysses_9.tsp;true;0.029;0.7202777242147631;0.0
14_burma_3.tsp;true;0.216;66.21374551350527;0.0
14_burma_6.tsp;true;0.103;17.962247641471908;0.0
14_burma_9.tsp;true;0.163;4.724843955442653;0.0
22_ulysses_3.tsp;true;0.697;284.2098066855361;0.0
22_ulysses_6.tsp;true;8.176;82.6309678494024;9.103012598914784e-5
22_ulysses_9.tsp;true;1.929;26.217229233402662;0.0
26_eil_3.tsp;true;26.761;1850.419682949817;6.868291364938503e-5
26_eil_6.tsp;false;300.523;627.1633762442085;0.23069103137296004
26_eil_9.tsp;false;300.042;325.18890283905296;0.22494813932216545
30_eil_3.tsp;true;133.992;2693.0461171791962;9.276816368307511e-5
30_eil_6.tsp;false;300.672;871.0474365209984;0.3338657644038243
30_eil_9.tsp;false;300.673;510.4988223349406;0.5728832519033602
34_pr_3.tsp;true;220.798;493480.24574489176;8.36676763747666e-5
34_pr_6.tsp;false;300.187;174618.01121911858;0.5404158010519238
34_pr_9.tsp;false;300.066;82797.39404052499;0.5942965923218739
38_rat_3.tsp;false;300.02;6580.20678415506;0.21392385044497125
38_rat_6.tsp;false;300.254;2448.7155098176945;0.6811543284956412
38_rat_9.tsp;false;301.373;1474.884797196998;0.7904981183950393
40_eil_3.tsp;false;300.161;6318.670403971026;0.4817477254000633
