instance;optimal;time;value;gap
10_ulysses_3.tsp;true;0.2;54.354823587721164;0.0
10_ulysses_6.tsp;true;0.101;7.221996142226361;0.0
10_ulysses_9.tsp;true;0.038;0.7202777242147631;0.0
14_burma_3.tsp;true;0.235;66.21374551350527;0.0
14_burma_6.tsp;true;0.121;17.962247641471908;0.0
14_burma_9.tsp;true;0.063;4.724843955442653;0.0
22_ulysses_3.tsp;true;0.79;284.2098066855361;0.0
22_ulysses_6.tsp;true;5.438;82.6309678494024;0.0
22_ulysses_9.tsp;true;0.815;26.217229233402662;3.6850684784786955e-5
26_eil_3.tsp;true;20.467;1850.419682949817;0.0
26_eil_6.tsp;false;300.015;622.1817670319881;0.21850473350477656
26_eil_9.tsp;false;300.031;325.0654292678001;0.2639995180395564
30_eil_3.tsp;true;171.88;2693.0461171791962;9.036632516171265e-5
30_eil_6.tsp;false;300.029;871.0474365209984;0.3496666418925217
30_eil_9.tsp;false;300.032;485.61846482270045;0.5641395908344448
34_pr_3.tsp;true;215.16;493480.24574489176;5.3774063692544244e-5
34_pr_6.tsp;false;300.058;173518.71160006576;0.5320603431741304
34_pr_9.tsp;false;302.958;100145.31062524897;0.7012687023522021
38_rat_3.tsp;false;300.342;7407.680162653006;0.5368156080582593
38_rat_6.tsp;false;300.415;2547.140125512979;0.8187472511349959
38_rat_9.tsp;false;300.646;1553.987987396874;0.8522244601678425
40_eil_3.tsp;false;300.398;6583.797200618808;0.6352989997823998
40_eil_6.tsp;false;300.16;2178.528776052455;0.7777398240114569
40_eil_9.tsp;false;300.544;1253.655067068601;0.8102328176208242
44_lin_3.tsp;false;300.034;142124.94467140824;0.42608159963276104
44_lin_6.tsp;false;300.255;48708.33342319754;0.7590838535559357
44_lin_9.tsp;false;300.316;23148.30632408973;0.8686591068034504
48_att_3.tsp;false;300.301;636245.8698763994;0.5132523354050822
48_att_6.tsp;false;300.51;263897.7082337944;0.8967293751089409
48_att_9.tsp;false;300.367;125474.47408062381;0.9447423797861002
52_berlin_3.tsp;false;300.02;180339.2163469337;0.5749795337081902
52_berlin_6.tsp;false;300.292;65762.38916210821;0.8491959146260607
